GeoFIPS,GeoName,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1,2024:Q2,2024:Q3,2024:Q4,2025:Q1,2025:Q2,2025:Q3
45000,South Carolina,39037,39401,39818,40112,40276,40536,40861,41317,41906,42284,42497,42818,43136,43525,43995,44573,45723,45965,46245,46637,46558,51283,48530,48612,56055,52207,52292,52868,53287,54019,54831,56053,57089,57252,58059,58682,59869,60604,60965,61690,62668,63372,63733
46000,South Dakota,47675,47998,48423,48993,47983,48053,48542,48503,49315,49452,49386,49576,50773,50865,51301,53283,53730,53569,54928,55416,55998,61178,59175,61834,67943,66737,67117,66749,68852,69510,70281,70544,73793,74010,74333,74560,74986,75572,75714,76539,78399,80041,81018
47000,Tennessee,41424,41844,42114,42321,42610,42644,43056,43393,43964,44195,44426,45015,45732,46072,46802,47201,48439,48782,49034,49287,50519,53235,52116,52110,60169,56325,56689,57457,58153,58530,59411,60373,62385,63060,63833,64646,65517,66496,66759,67292,68551,69143,69757
48000,Texas,47224,46822,46713,46337,45628,45555,45896,46417,47487,48178,48791,49633,50365,50969,51714,52272,52840,53113,53377,53681,53124,56371,55156,54641,62171,59016,59481,60732,61989,63262,64562,65150,66883,67112,67670,68367,69062,69678,70097,70592,71515,72357,72563
49000,Utah,39302,39756,40038,40305,40888,41048,41375,41859,42296,42749,43282,43821,44732,45202,45703,46220,47763,47783,48334,48748,49280,53238,51554,52905,60048,56777,57635,58915,59416,60121,61263,62241,63281,64213,64938,65641,66648,67378,67465,67984,69175,69781,69989
50000,Vermont,47609,48037,48317,48541,48694,48655,48918,48935,49539,49756,50204,50557,50941,51479,51908,52430,54136,54094,54366,54461,55757,61480,57822,57350,64452,60000,59957,60222,62170,63140,64217,65607,66807,67738,68060,69091,70113,71054,71632,72392,73479,74234,74932
51000,Virginia,50993,51567,51885,51996,52126,52375,52769,53314,53781,54176,54564,54999,55380,55789,56365,56938,57769,58196,58574,58890,59310,62913,61603,61969,69298,65963,66432,67202,67806,68589,70384,71361,72189,73515,74320,75400,76251,77083,77630,78530,79432,80331,80917
53000,Washington,51861,52304,52633,52714,53636,53908,54344,55272,55901,56462,57049,57856,58871,59261,60233,60937,62797,63186,63503,64188,65243,69654,68229,67783,75760,73123,73005,73769,74707,75166,76608,77650,79528,80587,81489,82521,83584,85203,85439,86706,87832,88621,88884
54000,West Virginia,36834,37212,37173,37072,36960,37027,37033,37291,38409,38532,38992,39403,40006,40625,41507,41828,42520,42697,42719,42480,42635,48166,44606,44133,52013,47500,47720,48467,49225,49674,50531,51113,51992,52800,53124,53883,54818,55265,55307,56021,56984,57913,58376
55000,Wisconsin,45518,45831,46074,46257,46307,46378,46777,46871,47575,47966,48672,49010,49984,50140,50735,51204,51857,52312,52359,52932,53321,57335,55229,56227,62927,59613,59795,60281,60754,61315,62434,62806,63806,64512,65161,65971,66862,67527,68064,68630,69588,70344,70974
56000,Wyoming,56839,56277,56154,55393,53830,53196,53173,53639,54947,56163,56690,57481,57821,58729,59687,60422,61147,61459,62171,62518,64159,67036,64247,64962,72710,70012,70637,72477,75327,76681,78472,80543,81666,82700,83323,84477,85231,86279,86914,87507,88738,89896,90249
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend/Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Per capita personal income is total personal income divided by total quarterly population estimates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note. Millions of dollars, seasonally adjusted at annual rates. All dollar estimates are in current dollars (not adjusted for inflation). Calculations are performed on unrounded data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Last updated: January 23, 2026-- new statistics for 2025:Q3; revised statistics for 2025:Q1-2025:Q2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
